iter	Passed	Remaining
0	0	33
1	0	32
2	0	30
3	1	28
4	1	27
5	1	27
6	2	28
7	2	27
8	2	27
9	3	27
10	3	27
11	3	26
12	3	26
13	4	25
14	4	25
15	4	25
16	5	24
17	5	24
18	5	24
19	5	23
20	6	23
21	6	23
22	6	22
23	7	22
24	7	22
25	7	22
26	8	21
27	8	21
28	8	21
29	8	20
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	18
37	11	18
38	12	19
39	12	19
40	13	18
41	13	18
42	13	17
43	13	17
44	14	17
45	14	16
46	14	16
47	14	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	11
61	19	11
62	19	11
63	19	11
64	19	10
65	20	10
66	20	10
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	24	5
83	25	4
84	25	4
85	25	4
86	26	3
87	26	3
88	26	3
89	26	2
90	27	2
91	27	2
92	27	2
93	28	1
94	28	1
95	28	1
96	29	0
97	29	0
98	29	0
99	29	0
