iter	Passed	Remaining
0	56	56326
1	56	28295
2	57	18960
3	57	14285
4	57	11483
5	58	9610
6	58	8290
7	58	7306
8	59	6526
9	59	5898
10	59	5384
11	60	4954
12	60	4592
13	60	4282
14	61	4014
15	61	3775
16	61	3566
17	61	3382
18	62	3216
19	62	3065
20	62	2931
21	63	2807
22	63	2695
23	63	2592
24	64	2498
25	64	2411
26	64	2329
27	64	2254
28	65	2184
29	65	2120
30	65	2058
31	66	2000
32	66	1947
33	66	1896
34	67	1849
35	67	1805
36	67	1762
37	68	1722
38	68	1685
39	68	1649
40	68	1613
41	69	1581
42	69	1549
43	69	1519
44	70	1490
45	70	1463
46	70	1437
47	71	1411
48	71	1388
49	71	1365
50	72	1343
51	72	1321
52	72	1300
53	73	1280
54	73	1261
55	73	1243
56	74	1225
57	74	1208
58	74	1190
59	74	1173
60	75	1158
61	75	1142
62	75	1128
63	76	1113
64	76	1100
65	76	1086
66	77	1072
67	77	1059
68	77	1047
69	77	1035
70	78	1023
71	78	1012
72	78	1001
73	79	990
74	79	979
75	79	970
76	80	960
77	80	951
78	80	943
79	81	934
80	81	925
81	81	916
82	81	905
83	82	896
84	82	888
85	82	880
86	83	872
87	83	864
88	83	856
89	84	849
90	84	842
91	84	835
92	84	828
93	85	821
94	85	814
95	85	808
96	86	801
97	86	795
98	86	789
99	87	783
100	87	777
101	87	771
102	87	765
103	88	759
104	88	754
105	88	748
106	89	743
107	89	737
108	89	732
109	89	727
110	90	721
111	90	717
112	90	712
113	90	707
114	91	702
115	91	697
116	91	692
117	92	688
118	92	684
119	92	679
120	93	675
121	93	670
122	93	667
123	93	663
124	94	659
125	94	655
126	94	651
127	95	647
128	95	643
129	95	639
130	95	635
131	96	632
132	96	628
133	96	625
134	96	621
135	97	617
136	97	614
137	97	611
138	98	607
139	98	604
140	98	601
141	98	597
142	99	594
143	99	591
144	99	588
145	100	585
146	100	582
147	100	579
148	101	577
149	101	574
150	101	571
151	101	568
152	102	565
153	102	562
154	102	560
155	103	557
156	103	555
157	103	552
158	103	550
159	104	547
160	104	544
161	104	541
162	104	539
163	105	536
164	105	534
165	105	531
166	106	529
167	106	527
168	106	524
169	106	522
170	107	519
171	107	517
172	108	518
173	108	516
174	109	514
175	109	512
176	109	509
177	109	507
178	110	505
179	110	503
180	110	501
181	111	499
182	111	497
183	111	495
184	112	493
185	112	491
186	112	490
187	112	488
188	113	486
189	113	484
190	113	482
191	114	480
192	114	478
193	114	477
194	115	475
195	115	473
196	115	471
197	116	470
198	116	468
199	116	466
200	117	465
201	117	463
202	117	461
203	117	460
204	118	458
205	118	456
206	118	454
207	119	453
208	119	451
209	119	450
210	119	448
211	120	446
212	120	445
213	120	443
214	121	442
215	121	440
216	121	438
217	121	437
218	122	435
219	122	434
220	122	432
221	123	431
222	123	430
223	123	428
224	124	427
225	124	425
226	124	424
227	124	423
228	125	421
229	125	420
230	125	418
231	126	417
232	126	416
233	126	414
234	127	413
235	127	412
236	127	410
237	127	409
238	128	408
239	128	406
240	128	405
241	128	404
242	129	402
243	129	401
244	129	400
245	130	398
246	130	397
247	130	396
248	130	395
249	131	393
250	131	392
251	131	391
252	132	390
253	132	388
254	132	387
255	133	386
256	133	385
257	133	384
258	134	383
259	134	382
260	134	381
261	135	380
262	135	380
263	136	379
264	136	378
265	136	377
266	137	376
267	137	375
268	138	375
269	138	375
270	139	374
271	140	374
272	140	373
273	140	373
274	141	372
275	141	371
276	142	371
277	142	370
278	142	369
279	143	368
280	143	367
281	143	366
282	144	365
283	144	364
284	144	363
285	145	362
286	145	361
287	146	362
288	146	361
289	147	360
290	147	359
291	147	358
292	148	357
293	148	357
294	148	356
295	149	355
296	149	354
297	149	353
298	150	352
299	150	351
300	150	350
301	151	349
302	151	348
303	152	348
304	152	347
305	152	346
306	153	346
307	153	345
308	154	345
309	154	344
310	155	343
311	155	342
312	155	341
313	156	340
314	156	339
315	156	338
316	156	338
317	157	338
318	158	337
319	158	336
320	158	335
321	159	335
322	159	334
323	159	333
324	160	332
325	160	331
326	160	331
327	161	330
328	161	329
329	161	328
330	162	329
331	163	328
332	163	327
333	163	326
334	164	325
335	164	324
336	164	324
337	165	323
338	165	322
339	165	321
340	165	320
341	166	319
342	166	318
343	166	318
344	167	317
345	167	316
346	167	315
347	168	315
348	168	314
349	168	313
350	169	312
351	169	312
352	169	311
353	170	310
354	170	309
355	170	308
356	171	308
357	171	307
358	171	306
359	171	305
360	172	304
361	172	304
362	172	303
363	173	302
364	173	301
365	173	300
366	173	300
367	174	299
368	174	298
369	174	297
370	175	296
371	175	296
372	175	295
373	176	295
374	176	294
375	176	293
376	177	292
377	177	292
378	177	291
379	178	290
380	178	289
381	178	289
382	178	288
383	179	287
384	179	286
385	179	285
386	180	285
387	180	284
388	180	283
389	180	282
390	181	282
391	181	281
392	181	280
393	182	280
394	182	279
395	182	278
396	182	277
397	183	277
398	183	276
399	183	275
400	184	275
401	184	274
402	184	273
403	185	273
404	185	272
405	185	271
406	186	271
407	186	270
408	186	269
409	186	268
410	187	268
411	187	267
412	187	266
413	187	266
414	188	265
415	188	264
416	188	264
417	189	263
